Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species,Host Genus,Host Family,Host Order,Year isolated,Longitude,Latitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
2205,II,IIA,35,,RUN201,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005,11.520526,3.864768,"Yaounde (ZAE5), Cameroon",Cameroon,Middle Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2207,II,IIA,35,,RUN457,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1990,-4.0191745,13.3570532,"Farako Ba, Burkina Faso",Burkina Faso,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2208,II,IIA,35,,RUN549,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2003,-79.766163,21.752258,"San Pedro, Trinidad",Republic of Trinidad and Tobago,Caribbean,North America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2209,II,IIA,35,,RUN1748,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P1, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2210,II,IIA,35,,RUN1751,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2211,II,IIA,35,,RUN1753,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"Guessan 2012, http://dx.doi.org/10.1094/PHYTO-11-11-0300",2012,Jason Avalos,
2212,II,IIA,35,,RUN1754,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2213,II,IIA,35,,RUN1757,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2214,II,IIA,35,,RUN1759,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2215,II,IIA,35,,RUN1760,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.9089495,6.6167489,"Sinfra P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2216,II,IIA,35,,RUN1761,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.3267286,5.9342349,"Datta P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"Guessan 2012, http://dx.doi.org/10.1094/PHYTO-11-11-0300",2012,Jason Avalos,
2217,II,IIA,35,,RUN1762,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.3267286,5.9342349,"Datta P1, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2218,II,IIA,35,,RUN1763,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.3267286,5.9342349,"Datta P2, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2219,II,IIA,35,,RUN1860,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2220,II,IIA,35,,RUN1861,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2221,II,IIA,35,,RUN1862,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2222,II,IIA,35,,RUN1863,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2223,II,IIA,35,,RUN1864,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2224,II,IIA,35,,RUN1865,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2225,II,IIA,35,,RUN1873,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2226,II,IIA,35,,RUN1884,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-4.8250584,5.8956463,"Pakobo, Tiassalé, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2227,II,IIA,36,,CFBP2957,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1987,-60.5746,14.4419,"Case Pilote, Martinique Island, French West Indes, France",France,Caribbean,North America,"FP885897, FP885907 Direct Link: https://www.ncbi.nlm.nih.gov/nuccore?term=50685%5BBioProject%5D","Complete (2 contigs) -- CAREFUL, the NCBI Assembly page only includes the chromosome for some reason",,AF295265,,,"Prior 2016, https://doi.org/10.1186/s12864-016-2413-z",2016,Jason Avalos,"Early papers called this IIA-5, but Philippe Prior reassigned this strain to IIA-36"
2228,II,IIA,36,,RUN36,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1987,-60.5746,14.4419,"Case Pilote, Martinique Island, French West Indes, France",France,Caribbean,North America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2229,II,IIA,36,,S1T1,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2015,55.376823,-21.278098,"Reunion Island, France",Reunion Island,Eastern Africa,Africa,,,,KY863340,KY863202,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
2231,II,IIA,37,,RF38,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2003,-61.25317573,10.46864301,Trinidad and Tobago,Republic of Trinidad and Tobago,Caribbean,North America,,,,JF702309,JF702716,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
2232,II,IIA,38,,6035,,Water,,,,,,2006,-52.636363,5.16047,"French Guiana, France",French Guiana,Southern America,South America,,,,JF702307,JF702711,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
2233,II,IIA,38,,CFBP6779,,,Canna indica (Purple Arrowroot),Canna indica,Canna,Cannaceae,Zingiberales,2002,-61.00172,14.616082,"Le Lamentin, Martinique Island, French West Indes, France",France,Caribbean,North America,,,,EF371835,EF371872,,"Wicker 2007, https://doi.org/10.1128/AEM.00841-07",2007,Tiffany Lowe-Power,
2234,II,IIA,38,,P816,,,Vaccinium Cyanococcus (Blueberry),Vaccinium sect. Cyanococcus,Vaccinium,Ericaceae,Ericales,2016,-82.03362976,28.94446471,"Florida, United States",United States (Continental),Northern America,North America,GCF_003337165.1,Contig (142),Illumina HiSeq,,,,"Bocsanczy 2019, http://doi.org/10.1128/MRA.01316-18",2019,Kyle Chipman,
2235,II,IIA,38,,RUN42,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.35301,-11.12159,"La chincana, San Ramon, Peru",Peru,Southern America,South America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2236,II,IIA,38,,RUN288,,,Canna indica (Purple Arrowroot),Canna indica,Canna,Cannaceae,Zingiberales,2002,-61.00172,14.616082,"Le Lamentin, Martinique Island, French West Indes, France",France,Caribbean,North America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2237,II,IIA,38,,RUN436,,Water (Irrigation),,,,,,2006,-52.47339,5.013751,"Macouria, French Guiana, France",French Guiana,Southern America,South America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2238,II,IIA,39,,CFBP2958,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-61.1624,16.1511,"Saint François, Guadeloupe Island, French West Indes, (France)",France,Caribbean,North America,,,,AF295266,,,"Cellier 2010, https://doi.org/10.1094/PHYTO-02-10-0059",2010,Darrell Sparks and Tiffany Lowe-Power,
2239,II,IIA,39,,CFBP3105,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,GU294940,,,"Cellier 2010, https://doi.org/10.1094/PHYTO-02-10-0059",2010,Darrell Sparks and Tiffany Lowe-Power,
2240,II,IIA,39,,JQ1143,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,55.376823,-21.278098,"Reunion Island, France",Reunion Island,Eastern Africa,Africa,,,,,,,"Cellier 2015, https://doi.org/10.1371/journal.pone.0122182",2015,Maria Charco Munoz,
2241,II,IIA,39,,RUN28,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1985,-61.72715035,15.99454009,"Saint François, Guadeloupe Island, French West Indes,",France,Caribbean,North America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2242,II,IIA,40,,CIP239,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1983,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,AF295269,,,"Lebeau 2011, https://doi.org/10.1094/PHYTO-02-10-0048",2011,Darrielle Williams,
2243,II,IIA,40,,RUN43,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1983,-47.7905612,-15.68456838,"CNPH-DF, Brazil",Brazil,Southern America,South America,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2244,II,IIA,40,,UW469,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,DQ657612,,,"Cellier 2010, https://doi.org/10.1094/PHYTO-02-10-0059",2010,Darrell Sparks and Tiffany Lowe-Power,
2245,II,IIA,41,,B105,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875410,KF896786,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2246,II,IIA,41,,B106,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875420,KF896779,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2247,II,IIA,41,,B54,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875424,KF896795,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2248,II,IIA,41,,B64,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875422,KF896776,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2249,II,IIA,41,,B66,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875403,KF896775,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2250,II,IIA,41,,B73,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875423,KF896774,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2251,II,IIA,41,,B74,,,Musa paradisiaca (Plantain),Musa paradisiaca,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875404,KF896773,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2252,II,IIA,41,,B75,,,Musa paradisiaca (Plantain),Musa paradisiaca,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875421,KF896777,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2253,II,IIA,41,,B95,,,Musa sp. (Banana Plant),,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875402,KF896780,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2254,II,IIA,41,,B96,,,Musa sp. (Banana Plant),,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875415,KF896778,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2255,II,IIA,41,,BV136,,,Musa sp. (Banana Plant),,Musa,Musaceae,Zingiberales,1987-2012,-51.61978902,-9.588903017,Brazil,Brazil,Southern America,South America,,,,KF875414,KF896781,,"Albuquerque 2014, https://doi.org/10.1094/PHYTO-12-13-0334-R",2014,Kyle Chipman,
2256,II,IIA,41,,CFBP7032,CMR39,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005,10.052308,5.452149,"Dschang (ZAE3), Cameroon",Cameroon,Middle Africa,Africa,,,,EF439726,EF439803,,"Thano 2018, https://doi.org/10.1111/lam.12857",2018,Kyle Chipman,
2257,II,IIA,41,,CIP116,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1980,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461733,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2258,II,IIA,41,,CIP137,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1981,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461741,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2259,II,IIA,41,,CIP15,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1973,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461746,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2260,II,IIA,41,,CIP187,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1981,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461760,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2263,II,IIA,41,,RS08,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1987,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629836,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2264,II,IIA,41,,RS100,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1992,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629849,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2265,II,IIA,41,,RS101,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1992,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629850,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2266,II,IIA,41,,RS102,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1992,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629851,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2267,II,IIA,41,,RS103,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1992,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629852,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2268,II,IIA,41,,RS122,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1993,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629837,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2269,II,IIA,41,,RS21,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1987,-42.5339,-8.452,Northeast Brazil,Brazil,Southern America,South America,,,,KT629831,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2270,II,IIA,41,,RS215,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2002,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629840,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2271,II,IIA,41,,RS216,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2002,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629841,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2272,II,IIA,41,,RS235,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2003,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629844,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2273,II,IIA,41,,RS236,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2003,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629845,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2274,II,IIA,41,,RS298,,,Eucalyptus pellita (Large-fruited Red Mahogany),,Eucalyptus,Myrtaceae,Myrtales,,-46.63209,-23.549387,Southeast Brazil,Brazil,Southern America,South America,,,,KT629855,,,"Rossato 2017, https://doi.org/10.1007/s40858-017-0177-x",2017,Kyle Chipman,
2275,II,IIA,41,,RS37,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1988,-55.723118,-22.48867,North Brazil,Brazil,Southern America,South America,,,,KT629853,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2276,II,IIA,41,,RS483,,,Eucalyptus pellita (Large-fruited Red Mahogany),,Eucalyptus,Myrtaceae,Myrtales,,-51.051765,0.037646,Central Brazil,Brazil,Southern America,South America,,,,KT629832,,,"Lee 2020, https://dx.doi.org/10.5423%2FPPJ.OA.06.2020.0095",2020,Darrielle Williams,
2277,II,IIA,41,,RS62,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1990,-42.5339,-8.452,Northeast Brazil,Brazil,Southern America,South America,,,,KT629847,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2278,II,IIA,41,,RS63,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1990,-42.5339,-8.452,Northeast Brazil,Brazil,Southern America,South America,,,,KT629848,,,"Santiago 2020, https://doi.org/10.1094/PDIS-09-19-1929-RE",2020,Kyle Chipman,
2279,II,IIA,41,,RUN150,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005,10.052308,5.452149,"Dschang (ZAE3), Cameroon",Cameroon,Middle Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
2280,II,IIA,50,,CIP120,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,GCA_001644795.1,Contig (145),Illumina HiSeq (150x),MF461736,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,"Also called IIA-38 in a paper, but whole genome places it with IIA-50"
2281,II,IIA,50,,CIP128,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1977,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461737,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2282,II,IIA,50,,CIP129,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1977,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461738,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2283,II,IIA,50,,CIP130,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1977,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461740,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2284,II,IIA,50,,CIP147,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1978,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461745,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2285,II,IIA,50,,CIP173,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461752,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2286,II,IIA,50,,CIP18,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1975,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461756,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2287,II,IIA,50,,CIP183,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1981,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461757,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2288,II,IIA,50,,CIP203,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1982,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461767,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2289,II,IIA,50,,CIP24,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461772,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2290,II,IIA,50,,CIP305,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1988,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461793,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2291,II,IIA,50,,CIP62,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461970,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
2292,II,IIA,50,,CIP77,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1976,-75.31113196,-10.15109251,Peru,Peru,Southern America,South America,,,,MF461995,,,"Gutarra 2017, https://doi.org/10.3389/fpls.2017.01221",2017,Kyle Chipman,
